iter	Passed	Remaining
0	150	1506209
1	156	782637
2	160	536330
3	165	414158
4	169	339018
5	173	289733
6	177	253594
7	181	226579
8	185	205727
9	189	189004
10	192	175259
11	197	164326
12	201	155153
13	205	146713
14	209	139457
15	214	133627
16	218	128080
17	221	123038
18	225	118709
19	229	114698
20	233	110959
21	237	107663
22	241	104638
23	244	101698
24	248	98995
25	252	96764
26	256	94746
27	259	92560
28	263	90656
29	267	88869
30	270	87089
31	273	85329
32	277	83782
33	280	82155
34	283	80777
35	286	79406
36	290	78288
37	294	77176
38	297	76110
39	302	75278
40	309	75083
41	315	74908
42	322	74593
43	329	74519
44	334	74104
45	339	73363
46	343	72721
47	347	72004
48	351	71284
49	355	70700
50	358	70020
51	364	69753
52	369	69321
53	374	68889
54	378	68405
55	383	68069
56	388	67706
57	393	67448
58	397	66992
59	400	66358
60	404	65956
61	408	65431
62	411	64851
63	414	64300
64	417	63858
65	421	63394
66	424	62901
67	427	62389
68	430	62031
69	434	61661
70	437	61204
71	440	60748
72	444	60424
73	447	59989
74	450	59600
75	453	59192
76	457	58895
77	460	58547
78	463	58171
79	466	57829
80	470	57560
81	473	57210
82	475	56861
83	479	56551
84	483	56350
85	486	56067
86	489	55759
87	492	55445
88	495	55230
89	499	54947
90	501	54658
91	504	54372
92	508	54177
93	511	53926
94	514	53658
95	517	53398
96	521	53228
97	524	52986
98	527	52763
99	530	52517
100	534	52360
101	537	52189
102	541	51998
103	544	51768
104	547	51626
105	551	51454
106	554	51269
107	558	51134
108	561	50959
109	564	50753
110	567	50564
111	570	50382
112	574	50226
113	577	50048
114	580	49857
115	583	49675
116	586	49567
117	589	49391
118	592	49208
119	595	49040
120	599	48944
121	602	48816
122	606	48665
123	609	48506
124	612	48373
125	615	48236
126	618	48084
127	621	47930
128	624	47822
129	627	47669
130	630	47527
131	634	47407
132	637	47319
133	640	47176
134	643	47041
135	647	46935
136	651	46896
137	655	46851
138	658	46720
139	662	46651
140	666	46568
141	669	46472
142	672	46353
143	676	46319
144	680	46243
145	684	46169
146	687	46095
147	691	46037
148	694	45921
149	697	45802
150	701	45753
151	705	45681
152	708	45575
153	711	45463
154	715	45425
155	718	45329
156	721	45242
157	724	45146
158	728	45103
159	732	45043
160	735	44959
161	739	44902
162	742	44821
163	745	44713
164	748	44610
165	752	44576
166	755	44487
167	758	44389
168	761	44295
169	765	44241
170	768	44163
171	771	44071
172	774	43976
173	777	43897
174	780	43841
175	784	43795
176	787	43711
177	791	43678
178	794	43615
179	797	43530
180	800	43443
181	804	43391
182	807	43315
183	810	43237
184	813	43155
185	816	43099
186	819	43020
187	822	42938
188	825	42862
189	829	42807
190	832	42731
191	834	42647
192	837	42574
193	841	42521
194	844	42460
195	847	42397
196	850	42323
197	853	42257
198	857	42217
199	860	42146
200	863	42072
201	866	42032
202	870	41993
203	873	41925
204	876	41856
205	878	41786
206	882	41753
207	886	41721
208	889	41655
209	892	41594
210	895	41566
211	898	41502
212	902	41456
213	905	41411
214	908	41361
215	911	41299
216	914	41249
217	918	41212
218	921	41165
219	924	41111
220	927	41050
221	931	41007
222	934	40971
223	937	40913
224	940	40850
225	943	40796
226	946	40765
227	949	40707
228	952	40651
229	955	40592
230	959	40559
231	962	40519
232	965	40464
233	968	40405
234	971	40376
235	974	40332
236	977	40284
237	980	40235
238	984	40222
239	988	40196
240	991	40151
241	994	40097
242	998	40084
243	1001	40039
244	1004	40008
245	1007	39961
246	1011	39948
247	1014	39895
248	1017	39843
249	1020	39797
250	1023	39771
251	1027	39729
252	1030	39691
253	1033	39641
254	1037	39629
255	1040	39612
256	1043	39567
257	1046	39530
258	1050	39522
259	1053	39478
260	1056	39428
261	1059	39391
262	1063	39364
263	1066	39341
264	1069	39303
265	1072	39259
266	1076	39230
267	1079	39192
268	1083	39194
269	1087	39204
270	1091	39179
271	1094	39138
272	1097	39118
273	1101	39096
274	1104	39053
275	1107	39016
276	1110	38976
277	1114	38970
278	1117	38932
279	1120	38890
280	1123	38847
281	1126	38834
282	1129	38795
283	1132	38751
284	1135	38710
285	1139	38690
286	1142	38651
287	1145	38613
288	1148	38575
289	1151	38548
290	1154	38511
291	1157	38481
292	1160	38441
293	1163	38412
294	1166	38384
295	1169	38349
296	1173	38325
297	1177	38339
298	1180	38304
299	1183	38269
300	1186	38238
301	1190	38228
302	1194	38215
303	1197	38180
304	1200	38145
305	1203	38129
306	1206	38092
307	1209	38055
308	1212	38020
309	1216	38011
310	1219	37987
311	1222	37953
312	1225	37919
313	1228	37899
314	1231	37869
315	1235	37854
316	1238	37819
317	1241	37799
318	1244	37768
319	1247	37737
320	1250	37707
321	1254	37691
322	1257	37663
323	1260	37629
324	1263	37604
325	1266	37582
326	1269	37555
327	1272	37528
328	1275	37493
329	1278	37466
330	1282	37453
331	1285	37420
332	1287	37388
333	1290	37358
334	1294	37351
335	1297	37318
336	1300	37289
337	1303	37259
338	1307	37248
339	1310	37242
340	1313	37215
341	1316	37181
